분류,메뉴코드,바코드번호,관리메뉴명(한국어),메뉴명(한국어),기존가, 인상후 ,인상가격
상품,B0000470,8801206001998 ,서주누릉지,서주누릉지,400,500,100
상품,B0000471,8801073558618 ,깐도리,깐도리,400,500,100
상품,B0000472,8809713220031 ,쌍쌍바,쌍쌍바,400,500,100
상품,B0000491,8809713220024 ,누가바,누가바,400,500,100
상품,B0000492,8809713220307 ,녹차마루바,녹차마루바,400,500,100
상품,B0000493,8809713220208 ,인절미통통,인절미통통,400,500,100
상품,B0000494,8801062884025 ,죠스크류수박바,죠스크류수박바,400,500,100
상품,B0000498,8801104666855 ,라이언바 자두맛,라이언바 자두맛,400,500,100
상품,B0000499,8801104666770 ,무지바 청포도맛,무지바 청포도맛,400,500,100
상품,B0000500,8801206002070 ,리치망고스틴바,리치망고스틴바,400,500,100
상품,B0000510,8801062417155 ,누크바,누크바,400,500,100
상품,B0000512,8801062413133 ,바요바,바요바,400,500,100
상품,B0000529,8809713220055 ,바밤바골드,바밤바골드,400,500,100
상품,B0000530,8809713220079 ,호두마루바,호두마루바,400,500,100
상품,B0000531,8809713220314 ,체리마루바,체리마루바,400,500,100
상품,B0000539,8801206001776 ,얼토당토캐찹바,얼토당토캐찹바,400,500,100
상품,B0000540,8801206001608 ,서주팥아이스,서주팥아이스,400,500,100
상품,B0000547,8801206000243 ,아이스캔디딸기,아이스캔디딸기,400,500,100
상품,B0000548,8801206000250 ,아이스캔디메론,아이스캔디메론,400,500,100
상품,B0000549,8801206000236 ,아이스캔디팥,아이스캔디팥,400,500,100
상품,B0000550,8801206000281 ,아이스캔디커피,아이스캔디커피,400,500,100
상품,B0000551,8809713220154 ,누가바 쇼콜라,800 누가바 쇼콜라083083,400,500,100
상품,B0000552,8809713220161 ,바밤바 흑당버블티바,800 바밤바 흑당버블티바083093,400,500,100
상품,B0000555,8809713220246 ,800 아이스쿨 딸기093350,800 아이스쿨 딸기093350,400,500,100
상품,B0000558,8809713220321 ,폭신폭신솜사탕바,800 폭신폭신솜사탕바083074,400,500,100
상품,B0000587,8809713220710 ,쌍쌍바 포도,800 쌍쌍바 포도 083058,400,500,100
상품,B0000588,8809713220727 ,모히또바,800 모히또바080656,400,500,100
상품,B0000589,8809713220734 , 백도바, 백도바,400,500,100
상품,B0000590,8809713220741 ,부라보바 화이트바닐라,800 부라보바 화이트바닐라 083050,400,500,100
상품,B0000591,8809713220758 ,부라보바 초코청크마일드,800 부라보바 초코청크마일드 083053,400,500,100
상품,B0000592,8809713220765 ,부라보바 피스타치오,800 부라보바 피스타치오 084055,400,500,100
상품,B0000594,8809713220789 ,아이스쿨 자두,800 아이스쿨 자두083085,400,500,100
상품,B0000595,8809713220796 ,토마토마바,800 토마토마바083045,400,500,100
상품,B0000596,8809713220802 ,연양갱바,800 연양갱바 083081,400,500,100
상품,B0000597,8801118249938 ,아맛나,아맛나,400,500,100
상품,B0000598,8801104666879 ,피치 카카오,피치 카카오,400,500,100
상품,B0000599,8801118256158 ,샤인머스켓,샤인머스켓,400,500,100
상품,B0000600,8809713220840 ,파시통통,파시통통,400,500,100
상품,B0000624,8801118256257 ,백두마운틴,백두마운틴,400,500,100
상품,B0000636,8801118256240 ,한라마운틴,한라마운틴,400,500,100
상품,B0000649,8801206002131 ,브라우니바,브라우니바,400,500,100
상품,B0000834,8801206002285 ,임실치즈 케이크바,임실치즈 케이크바,400,500,100
상품,B0000868,8801062876587 ,바나나우유바,바나나우유바,400,500,100
상품,B0000871,8809713221007 ,듀엣 초코바나나,듀엣 초코바나나,400,500,100
상품,B0000897,8801104668897 ,쿠앤크 피스타치오바,쿠앤크 피스타치오바,400,500,100
상품,B0000898,8801062016655 ,스크류바 피치,스크류바 피치,400,500,100
상품,B0000916,8801062874484 ,죠스바 멜론,죠스바 멜론,400,500,100
상품,B0000917,8801206002612 ,홀리데이  코팅초코,홀리데이  코팅초코,400,500,100
상품,B0000940,8801118256639 ,델몬트 토마토 & 애플,델몬트 토마토 & 애플,400,500,100
상품,B0000941,8801062006595 ,노란수박바,노란수박바,400,500,100
상품,B0000945,8809713220123 ,누가바,누가바,400,500,100
상품,B0000947,8801118256783 ,초코퍼지 크런치바,초코퍼지 크런치바,400,500,100
상품,B0000948,8801104670814 ,아이스케-키 사과,아이스케-키 사과,400,500,100
상품,B0000949,8801104670852 ,아이스케-키 딸기맛하드,아이스케-키 딸기맛하드,400,500,100
상품,B0000950,8801104670838 ,아이스케-키 레몬맛하드,아이스케-키 레몬맛하드,400,500,100
상품,B0000955,8801118256578 ,돼지바 핑크,돼지바 핑크,400,500,100
상품,B0000956,8801206002575 ,쑥이랑 떡이랑 바,쑥이랑 떡이랑 바,400,500,100
상품,B0000957,8801104123280 ,메로나,메로나,400,500,100
상품,B0000964,8801062874491 ,스피아 민트바,스피아 민트바,400,500,100
상품,B0000965,8801062874507 ,쥬시후레쉬바,쥬시후레쉬바,400,500,100
상품,B0000976,8801062004720 ,거꾸로수박바,거꾸로수박바,400,500,100
상품,B0001034,8809713221366 ,아이스팜 천혜향,아이스팜 천혜향,400,500,100
상품,B0001037,8801206002735 ,호두과자바,호두과자바,400,500,100
상품,B0001038,8809713221281 ,자두바,자두바,400,500,100
상품,B0000431,8801206001752 ,썸머킥,썸머킥,500,600,100
상품,B0000058,8801019512377 ,폴라포 피치,폴라포 피치,500,600,100
상품,B0000288,8801019513428 ,폴라포 청사과요구르트,폴라포 청사과요구르트,500,600,100
상품,B0000298,8801019512919 ,젤루좋아 자몽,젤루좋아 자몽,500,600,100
상품,B0000378,8805584125130 ,더블팅,더블팅,500,600,100
상품,B0000398,8801019514432 ,토마토마쭈쭈바,토마토마쭈쭈바,500,600,100
상품,B0000421,8801019514357 ,탱크보이 시칠리아레몬,탱크보이 시칠리아레몬,500,600,100
상품,B0000432,8801062890279 ,허쉬초코아이스,허쉬초코아이스,500,600,100
상품,B0000450,8801206001639 ,왕수박알,왕수박알,500,600,100
상품,B0000507,8801104666480 ,뽕따 카카오,뽕따 카카오,500,600,100
상품,B0000541,8809592970210 ,왕수박알,왕수박알,500,600,100
상품,B0000702,8801118256325 ,빠삐코 달고나,빠삐코 달고나,500,600,100
상품,B0000919,8801104670920 ,졸음사냥,졸음사냥,500,600,100
상품,B0000946,8801206002544 ,왕모히또,왕모히또,500,600,100
상품,B0000952,8801062876808 ,초키초키 쿠앤크,초키초키 쿠앤크,500,600,100
상품,B0000974,8809713221373 ,제주용암수아이스,제주용암수아이스,500,600,100
상품,B0000075,8801206680100 ,서주왕포도알,서주왕포도알,500,600,100
상품,B0000076,8801206000465 ,서주요쿠르트아이스,서주요쿠르트아이스,500,600,100
상품,B0000077,8801206670354 ,서주 왕포도알,서주 왕포도알,500,600,100
상품,B0000078,8801206000168 ,서주빠빠오,서주빠빠오,500,600,100
상품,B0000079,8809089691350 ,서주더블플러스,서주더블플러스,500,600,100
상품,B0000080,8801206000458 ,서주요쿠르트 쭈쭈바,서주요쿠르트 쭈쭈바,500,600,100
상품,B0000090,8801104111553 ,더위사냥,더위사냥,500,600,100
상품,B0000092,8801118253850 ,빠삐코 밀크,빠삐코 밀크,500,600,100
상품,B0000093,8801118250996 ,빠삐코 초코,빠삐코 초코,500,600,100
상품,B0000094,8801104111355 ,뽕따소다,뽕따소다,500,600,100
상품,B0000095,8801019508769 ,젤루조아 감귤,젤루조아 감귤,500,600,100
상품,B0000096,8801019508721 ,탱크보이,탱크보이,500,600,100
상품,B0000097,8801062443499 ,심쿵 청포도,심쿵 청포도,500,600,100
상품,B0000098,8801019508745 ,폴라포스포츠,폴라포스포츠,500,600,100
상품,B0000099,8801019508738 ,폴라포포도,폴라포포도,500,600,100
상품,B0000100,8801104111348 ,파워캡레드,파워캡레드,500,600,100
상품,B0000101,8801118253881 ,칼라만시쮸쮸바,칼라만시쮸쮸바,500,600,100
상품,B0000102,8801118251153 ,망고쮸쮸바,망고쮸쮸바,500,600,100
상품,B0000103,8801062442553 ,주물러 콜라,주물러 콜라,500,600,100
상품,B0000104,8801118253874 ,딸기 쮸쮸바,딸기 쮸쮸바,500,600,100
상품,B0000150,8801019508776 ,젤루조아 청포도,젤루조아 청포도,500,600,100
상품,B0000151,8801019512933 ,탱크보이 애플젤리,탱크보이 애플젤리,500,600,100
상품,B0000152,8801118253867 ,빠삐코 딸기,빠삐코 딸기,500,600,100
상품,B0000154,8801104305174 ,더위사냥 카라멜마끼아또,더위사냥 카라멜마끼아또,500,600,100
상품,B0000155,8801104305167 ,더위사냥 콜드부르,더위사냥 콜드부르,500,600,100
상품,B0000177,8801206000502 ,왕포도알 소다맛,왕포도알 소다맛,500,600,100
상품,B0000290,8801104307444 ,메로나튜브,메로나튜브,500,600,100
상품,B0000320,8801104307789 ,뽕따 레드피치,뽕따 레드피치,500,600,100
상품,B0000323,8801019513343 ,젤루조아 백도,젤루조아 백도,500,600,100
상품,B0000408,8801104664363 ,더위사냥 레몬에이드,더위사냥 레몬에이드,500,600,100
상품,B0000430,8801062890941 ,모구모구 리치아이스,모구모구 리치아이스,500,600,100
상품,B0000433,8801206670194 ,더블더블,더블더블,500,600,100
상품,B0000453,8801118255892 ,쭈쭈바레몬,쭈쭈바레몬,500,600,100
상품,B0000532,8809713220048 ,폴라포 포도,폴라포 포도,500,600,100
상품,B0000573,8809713220581 ,폴라포 스포츠,1000 폴라포 스포츠084033,500,600,100
상품,B0000574,8809713220598 ,폴라포 피치,1000 폴라포 피치 084035,500,600,100
상품,B0000575,8809713220086 ,탱크보이,1000 탱크보이OP084039,500,600,100
상품,B0000576,880 1019514357,1000 탱크보이 레몬OP084039,1000 탱크보이 레몬OP084039,500,600,100
상품,B0000577,8809713220611 ,1000 젤루조아 제주감귤084045,1000 젤루조아 제주감귤084045,500,600,100
상품,B0000578,8809713220628 ,탱크보이 모히또,1000 탱크보이 모히또084043,500,600,100
상품,B0000579,8809713220635 , 젤루조아 청포도, 젤루조아 청포도,500,600,100
상품,B0000580,8809713220642 ,1000 탱크보이 애플젤리OP084041,1000 탱크보이 애플젤리OP084041,500,600,100
상품,B0000581,8809713220659 ,1000 젤루조아 백도084051,1000 젤루조아 백도084051,500,600,100
상품,B0000582,8809713220666 ,젤루조아 초코,1000 젤루조아 초코084057,500,600,100
상품,B0000583,8809713220673 ,토마토마시판,1000 토마토마시판084053,500,600,100
상품,B0000609,8809713220901 ,폴라포커피,폴라포커피,500,600,100
상품,B0000627,8809713220963 ,탱크보이,탱크보이,500,600,100
상품,B0000631,8801118251146 ,키위쭈쭈바,키위쭈쭈바,500,600,100
상품,B0000659,8801118251337 ,빠삐코소다,빠삐코소다,500,600,100
상품,B0000911,8801118256585 ,빠삐코 딸기,빠삐코 딸기,500,600,100
상품,B0000939,8809713220390 ,탱크보이,탱크보이,500,600,100
상품,B0000973,8809713221274 ,탱크보이x민초단,탱크보이x민초단,500,600,100
상품,B0001033,8809713220888 ,토마토마 쭈쭈바,토마토마 쭈쭈바,500,600,100
상품,B0000091,8801118250590 ,거북알,거북알,600,600, - 
상품,B0000135,8801062013951 ,본젤라또 녹차초코,본젤라또 녹차초코,600,600, - 
상품,B0000136,8801019513572 ,하이카카오,하이카카오,600,600, - 
상품,B0000149,8801118252839 ,거북이,거북이,600,600, - 
상품,B0000156,8801104304856 ,녹차팥아이스,녹차팥아이스,600,600, - 
상품,B0000189,8801104304832 ,순우유아이스,순우유아이스,600,600, - 
상품,B0000190,8801104304870 ,코코넛버블티바,코코넛버블티바,600,600, - 
상품,B0000231,8801019513787 ,누가바초코,누가바초코,600,600, - 
상품,B0000232,8801019513817 ,바밤바라떼,바밤바라떼,600,600, - 
상품,B0000233,8801019513350 ,블루베리바,블루베리바,600,600, - 
상품,B0000261,8801104306638 ,엔초 코코넛프라임,엔초 코코넛프라임,600,600, - 
상품,B0000269,8801118255014 ,구구바,구구바,600,600, - 
상품,B0000276,8801104307154 ,비비빅 더 프라임 인절미,비비빅 더 프라임 인절미,600,600, - 
상품,B0000299,8801104307727 ,순수u밀키 딸기우유맛,순수u밀키 딸기우유맛,600,600, - 
상품,B0000328,8801062013975 ,본젤라또 딸기바,본젤라또 딸기바,600,600, - 
상품,B0000331,8801104307918 ,쿠앤크 더프라임치즈,쿠앤크 더프라임치즈,600,600, - 
상품,B0000339,8801104307932 ,메로나 칸탈루프,메로나 칸탈루프,600,600, - 
상품,B0000383,8801118252570 ,그릭요거트바,그릭요거트바,600,600, - 
상품,B0000385,8801118253683 ,그릭요거트바딸기,그릭요거트바딸기,600,600, - 
상품,B0000389,8801062893195 ,인더피치바,인더피치바,600,600, - 
상품,B0000412,8801062017072 ,빅티코바,빅티코바,600,600, - 
상품,B0000418,8801062016402 ,스키피바,스키피바,600,600, - 
상품,B0000419,8801104664158 ,더프라임흑임자비비빅,더프라임흑임자비비빅,600,600, - 
상품,B0000427,8801062892440 ,코코모카바,코코모카바,600,600, - 
상품,B0000429,8801062890958 ,모구모구 피치아이스,모구모구 피치아이스,600,600, - 
상품,B0000434,8801104301169 ,엔쵸초코,엔쵸초코,600,600, - 
상품,B0000488,8801062885268 ,돌아온 엄마의실수,돌아온 엄마의실수,600,600, - 
상품,B0000489,8801062885275 ,돌아온까마쿤,돌아온까마쿤,600,600, - 
상품,B0000490,8801062884513 ,가나아이스바,가나아이스바,600,600, - 
상품,B0000495,8801104666060 ,엔초민트초코,엔초민트초코,600,600, - 
상품,B0000513,8801062016815 ,인투더망고바,인투더망고바,600,600, - 
상품,B0000515,8801062014750 ,가나 초키초키,가나 초키초키,600,600, - 
상품,B0000553,8809713220215 ,1200 하이카카오바 093259,1200 하이카카오바 093259,600,600, - 
상품,B0000584,8809713220680 ,누가바 마스카포네딸기,1200 누가바 마스카포네딸기093630,600,600, - 
상품,B0000593,8809713220772 ,아포가토,1200 아포가토083041,600,600, - 
상품,B0000608,8801062883059 ,모구모구 파인아이스,모구모구 파인아이스,600,600, - 
상품,B0000625,8809713220918 ,하이카카오,하이카카오,600,600, - 
상품,B0000642,8809713220864 ,쵸코피넛바,쵸코피넛바,600,600, - 
상품,B0000646,8801062882465 ,엄마의실수,엄마의실수,600,600, - 
상품,B0000647,8801062888061 ,블랙죠,블랙죠,600,600, - 
상품,B0000661,8801062881376 ,스크류주물러,스크류주물러,600,600, - 
상품,B0000705,8801062880454 ,가나 아이스바,가나 아이스바,600,600, - 
상품,B0000854,8801062876600 ,옥동자 가나초콜릿,옥동자 가나초콜릿,600,600, - 
상품,B0000867,8801062877959 ,빼빼로바,빼빼로바,600,600, - 
상품,B0000913,8801062874262 ,와일드바디 쿠키앤크림,와일드바디 쿠키앤크림,600,600, - 
상품,B0000914,8801062874637 ,빼빼로바 크런키,빼빼로바 크런키,600,600, - 
상품,B0000972,8809592640463 ,롤링바,롤링바,600,600, - 
상품,B0001036,8801062869114 ,가나 제로 아이스바,가나 제로 아이스바,600,600, - 
상품,B0000384,8801118255595 ,구구바딸기,구구바딸기,700,700, - 
상품,B0000626,8801104666831 ,단호박비비빅,단호박비비빅,700,700, - 
상품,B0000043,8801062004027 ,수박아이스,수박아이스,800,800, - 
상품,B0000044,8801062004034 ,스크류아이스,스크류아이스,800,800, - 
상품,B0000060,8801062002368 ,고드름레몬아이스,고드름레몬아이스,800,800, - 
상품,B0000116,8801104305099 ,더위사냥 구슬아이스,더위사냥 구슬아이스,800,800, - 
상품,B0000121,8801104305112 ,더위사냥 구슬아이스 레인보우,더위사냥 구슬아이스 레인보우,800,800, - 
상품,B0000145,8801062004010 ,죠스아이스,죠스아이스,800,800, - 
상품,B0000162,8801019511172 ,자유시간,자유시간,800,800, - 
상품,B0000207,8801019509445 ,홈런볼슈아이스,홈런볼슈아이스,800,800, - 
상품,B0000221,8801062418497 ,본젤라또 블랙쿠키,본젤라또 블랙쿠키,800,800, - 
상품,B0000243,8801019513763 ,크런치킹 쌍쌍바맛,크런치킹 쌍쌍바맛,800,800, - 
상품,B0000291,8801062012367 ,가나 초코아이스,가나 초코아이스,800,800, - 
상품,B0000305,8801104307161 ,더위사냥 구슬아이스 블루스노우,더위사냥 구슬아이스 블루스노우,800,800, - 
상품,B0000306,8801104307178 ,더위사냥 구슬아이스 레인보우,더위사냥 구슬아이스 레인보우,800,800, - 
상품,B0000317,8801118255281 ,델몬트 수박아이스,델몬트 수박아이스,800,800, - 
상품,B0000444,8801118255854 ,아이스배,아이스배,800,800, - 
상품,B0000477,8801019515057 ,애플시나몬,애플시나몬,800,800, - 
상품,B0000496,8801062883547 ,앙빵디저트 메론,앙빵디저트 메론,800,800, - 
상품,B0000504,8801104306324 ,더위 카라멜 치어팩24,더위 카라멜 치어팩24,800,800, - 
