메뉴별 매출현황,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
메뉴코드,바코드번호,메뉴명,분류명,거래건수,매출금액,할인금액,판매건수,실매출,부가세,순매출,객단가,판매수량,판매옵션수량,구성비(%)
B0000752,8809098725060 ,네모스낵 매콤한맛,젤리,62,32400,0,62,32400,2955,29445,300,108,0,0.09%
B0000446,8801062442911 ,설레임커피,상품,29,32000,0,29,32000,2913,29087,800,40,0,0.09%
B0000604,8801062412730 ,나뚜루 바닐라,상품,8,32000,0,8,32000,2912,29088,4000,8,0,0.09%
B0000902,4100250052401 ,히츨러 수수깡 젤리 40g,젤리,14,32000,0,14,32000,2912,29088,2000,16,0,0.09%
B0000748,8801073310704 ,별뽀빠이 72g,젤리,40,31700,0,40,31700,2891,28809,647,49,0,0.09%
B0000693,4000512998082 ,트롤리 미니버거,젤리,15,31600,0,15,31600,2874,28726,1975,16,0,0.09%
B0000708,8801062896806 ,하비스트 달콤고소,롯데과자,21,31500,0,21,31500,2861,28639,1500,21,0,0.09%
B0000831,8809263981147 ,미왕 쌀과자 270g,젤리,9,31500,0,9,31500,2862,28638,3500,9,0,0.09%
B0000909,8801118256608 ,구구콘 스트로베리,상품,32,31200,0,32,31200,2841,28359,800,39,0,0.09%
B0000914,8801062874637 ,빼빼로바 크런키,상품,37,31200,0,37,31200,2845,28355,600,52,0,0.09%
B0000947,8801118256783 ,초코퍼지 크런치바,상품,53,31200,0,53,31200,2829,28371,400,78,0,0.09%
B0000765,8802896004320 ,월드컵 맛기차콘,젤리,26,31000,0,26,31000,2823,28177,1000,31,0,0.09%
B0000714,8801062380015 ,치토스 매콤달콤한맛,롯데과자,19,30000,0,19,30000,2722,27278,1500,20,0,0.08%
B0000722,8801062009374 ,시리얼 초코,롯데과자,26,30000,0,26,30000,2732,27268,1000,30,0,0.08%
B0000723,8801062893546 ,ABC초코쿠키,롯데과자,28,30000,0,28,30000,2734,27266,1000,30,0,0.08%
B0000789,9556995140425 ,화이트캐슬 버터쿠키,젤리,19,30000,0,19,30000,2722,27278,1500,20,0,0.08%
B0000861,8801062222438 ,전화놀이,롯데과자,15,30000,0,15,30000,2727,27273,1500,20,0,0.08%
B0000913,8801062874262 ,와일드바디 쿠키앤크림,상품,40,30000,0,40,30000,2738,27262,600,50,0,0.08%
B0000938,4800100210394 ,요고아이스,젤리,19,30000,0,19,30000,2724,27276,1500,20,0,0.08%
B0000791,8801906162074 ,초코 팅촉,젤리,47,29500,0,47,29500,2673,26827,500,59,0,0.08%
B0000787,4800092660634 ,초코무초,젤리,52,29200,0,52,29200,2654,26546,400,73,0,0.08%
B0000125,8801062623556 ,말랑카우,상품,48,28800,0,48,28800,2620,26180,400,72,0,0.08%
B0000941,8801062006595 ,노란수박바,상품,48,28800,0,48,28800,2615,26185,400,72,0,0.08%
B0000930,4543112881205 ,초코비,젤리,9,28000,0,9,28000,2546,25454,2000,14,0,0.08%
B0000684,8801906167109 ,매운맛콘칩,젤리,36,27700,0,36,27700,2529,25171,589,47,0,0.08%
B0000389,8801062893195 ,인더피치바,상품,33,27600,0,33,27600,2520,25080,600,46,0,0.08%
B0000675,4003084319385 ,트롤리사우어글로우웜즈 100g,젤리,23,27600,0,23,27600,2509,25091,1200,23,0,0.08%
B0000758,8992760221028 ,오레오 바닐라 한줄,젤리,21,27600,0,21,27600,2508,25092,1200,23,0,0.08%
B0000759,8809247974400 ,도티 초코뽀잉,젤리,21,27600,0,21,27600,2512,25088,1200,23,0,0.08%
B0000672,4001686323366 ,하리보해피콜라100g,젤리,23,27500,0,23,27500,2498,25002,1100,25,0,0.08%
B0000751,8801073340077 ,별뽀빠이 4입,젤리,9,27400,0,9,27400,2487,24913,2491,11,0,0.08%
B0000798,8809271410127 ,포포,젤리,63,26700,0,63,26700,2429,24271,300,89,0,0.07%
B0000562,8809713220413 ,1500 부라보소프트콘082055,상품,22,26400,0,22,26400,2404,23996,800,33,0,0.07%
B0000959,8801118256851 ,떠먹는 돼지바 파르페,상품,10,26000,0,10,26000,2365,23635,2000,13,0,0.07%
B0000305,8801104307161 ,더위사냥 구슬아이스 블루스노우,상품,26,25600,0,26,25600,2329,23271,800,32,0,0.07%
B0000799,8809304881023 ,프레첼 체다치즈맛,젤리,15,25500,0,15,25500,2315,23185,1500,17,0,0.07%
B0000838,8809271410653 ,네모스낵 후라이드치킨맛,젤리,44,25500,0,44,25500,2315,23185,300,85,0,0.07%
B0000724,8801062013395 ,말랑카우 딸기우유캔디,롯데과자,7,25000,0,7,25000,2272,22728,2500,10,0,0.07%
B0000817,8809208062412 ,새콤짱 포도,젤리,39,25000,0,39,25000,2268,22732,500,50,0,0.07%
B0000797,8809394830185 ,도라에몽 츄러스,젤리,28,24500,0,28,24500,2235,22265,700,35,0,0.07%
B0000808,10700023858 ,허쉬 후퍼스,젤리,17,24300,0,17,24300,2210,22090,1157,21,0,0.07%
B0000306,8801104307178 ,더위사냥 구슬아이스 레인보우,상품,21,24000,0,21,24000,2182,21818,800,30,0,0.07%
B0000489,8801062885275 ,돌아온까마쿤,상품,28,24000,0,28,24000,2187,21813,600,40,0,0.07%
B0000685,79426368995 ,나초칩,젤리,16,24000,0,16,24000,2179,21821,1500,16,0,0.07%
B0000707,8801062009602 ,마가렛뜨 초코맘,롯데과자,8,24000,0,8,24000,2186,21814,3000,8,0,0.07%
B0000710,8801062521906 ,제크,롯데과자,16,24000,0,16,24000,2178,21822,1500,16,0,0.07%
B0000719,8801062012701 ,빼빼로,롯데과자,16,24000,0,16,24000,2177,21823,1500,16,0,0.07%
B0000739,8801062640829 ,빅 크런키,롯데과자,8,24000,0,8,24000,2182,21818,2400,10,0,0.07%
