분류,메뉴코드,바코드번호,관리메뉴명,메뉴명_한국어,메뉴명_영어,메뉴명_일본어,메뉴명_중국어,메뉴설명_한국어,메뉴설명_영어,메뉴설명_일본어,메뉴설명_중국어,판매가격,포장가격,아이콘표시,판매시작시간,판매종료시간,판매갯수제한,판매여부,성인인증여부,과세여부,표시시작일자,표시종료일자,판매불가요일,연동코드,매입처,야간가격
상품,B0000153,8801104303019 ,투게더 미니녹차컵,투게더 미니녹차컵,,,,,,,,2500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000154,8801104305174 ,더위사냥 카라멜마끼아또,더위사냥 카라멜마끼아또,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000155,8801104305167 ,더위사냥 콜드부르,더위사냥 콜드부르,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000156,8801104304856 ,녹차팥아이스,녹차팥아이스,,,,,,,,600,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000157,8801118253300 ,아이스츄,아이스츄,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000158,8801118253003 ,더블콘타워,더블콘타워,,,,,,,,1000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000159,8801019511851 ,초코마루청크,초코마루청크,,,,,,,,5000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000160,8801019512421 ,망고바,망고바,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000161,8801019511479 ,모히또바,모히또바,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000162,8801019511172 ,자유시간,자유시간,,,,,,,,800,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000163,8801062013999 ,본젤라또 마카롱 아이스크림,본젤라또 마카롱 아이스크림,,,,,,,,2000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000164,8801206680247 ,프라페 까페라떼,프라페 까페라떼,,,,,,,,1500,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000165,8801206000137 ,프라페 오렌지망고,프라페 오렌지망고,,,,,,,,1500,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000166,8801062004041 ,월드콘논산딸기,월드콘논산딸기,,,,,,,,1000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000167,8801019508196 ,아포가토,아포가토,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000168,8801104305181 ,파르페 티라미수,파르페 티라미수,,,,,,,,1500,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000169,8801104304627 ,끌레도르 바닐라바,끌레도르 바닐라바,,,,,,,,2000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000170,8801104123679 ,메로나바나나,메로나바나나,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000171,8801118254048 ,돼지콘,돼지콘,,,,,,,,1000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000172,8801062422630 ,월드콘 헤이즐럿,월드콘 헤이즐럿,,,,,,,,1000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000173,8801118252402 ,라베스트헤즐럿,라베스트헤즐럿,,,,,,,,2000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000174,8801104301695 ,끌레도르콘 솔티드카라멜,끌레도르콘 솔티드카라멜,,,,,,,,2500,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000175,8801118252112 ,쿠키오 치즈샌드,쿠키오 치즈샌드,,,,,,,,1000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000176,8801062453696 ,티코 다크초코,티코 다크초코,,,,,,,,5000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000177,8801206000502 ,왕포도알 소다맛,왕포도알 소다맛,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000178,8801118254055 ,빠삐코파우치,빠삐코파우치,,,,,,,,1000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000179,8801104123389 ,요맘때 복숭아,요맘때 복숭아,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000180,8801118253966 ,라베스트 망고소르베,라베스트 망고소르베,,,,,,,,2000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
